Date,Price,lstm0,lstm1,lstm2,lstm3,lstm4,lstm5,lstm6,lstm7,lstm8,lstm9,lstm10,lstm11,lstm12,lstm13,lstm14,lstm15,lstm16,lstm17,lstm18,lstm19
2018-04-16,8070.0,8048.4775390625,8145.17431640625,8657.5107421875,9318.1650390625,8410.6630859375,7965.75,8922.9365234375,7914.03466796875,8103.62353515625,8343.1162109375,7917.443359375,9133.76953125,9025.6455078125,8515.92578125,8902.2939453125,7936.53759765625,8473.5146484375,9070.671875,8214.3349609375,8032.8486328125
2018-04-17,7908.6,8278.0302734375,8349.8310546875,8744.111328125,9258.119140625,8553.7607421875,8308.3583984375,9023.5634765625,8186.02783203125,8161.6669921875,8530.3701171875,8157.357421875,9125.0029296875,9032.3994140625,8607.2900390625,9076.0361328125,7858.9833984375,8579.9873046875,9185.513671875,8407.7255859375,8064.880859375
2018-04-18,8178.4,8532.4423828125,8543.607421875,8770.83203125,9194.9482421875,8692.69921875,8514.68359375,9094.595703125,8501.984375,8335.73046875,8576.2021484375,8346.1767578125,9223.5830078125,9107.1962890625,8737.853515625,9121.49609375,8011.6865234375,8738.6435546875,9225.4404296875,8599.8525390625,8372.0615234375
2018-04-19,8290.8,8780.484375,8664.5205078125,8803.1220703125,9216.0380859375,8751.455078125,8757.662109375,9133.24609375,8785.8525390625,8665.48828125,8680.779296875,8770.546875,9295.6650390625,9179.3701171875,8888.064453125,9222.3935546875,8265.74609375,8716.3359375,9248.88671875,8825.2353515625,8648.6689453125
2018-04-20,8867.0,8999.599609375,8841.255859375,8849.4228515625,9231.611328125,8808.037109375,8976.7236328125,9177.6513671875,8926.990234375,8851.443359375,8774.3271484375,8941.6591796875,9332.42578125,9286.5361328125,9009.55859375,9364.3544921875,8544.1416015625,8816.53125,9350.2705078125,9053.841796875,8823.83203125
2018-04-21,8923.1,9176.2939453125,9057.927734375,8925.3125,9304.005859375,8847.541015625,9142.5302734375,9200.28125,9069.623046875,8901.8349609375,8896.9794921875,8859.3388671875,9365.98046875,9419.6875,9109.916015625,9539.3154296875,8679.6220703125,8948.7421875,9484.697265625,9215.4228515625,8940.5712890625
2018-04-22,8806.7,9307.81640625,9236.9248046875,9007.7861328125,9421.345703125,8849.453125,9231.720703125,9238.591796875,9250.8017578125,9021.904296875,9000.0322265625,9097.5478515625,9389.3212890625,9557.904296875,9202.8134765625,9693.45703125,8661.5224609375,9048.462890625,9635.6728515625,9344.291015625,9084.552734375
2018-04-23,8952.8,9394.89453125,9346.455078125,9054.1630859375,9556.662109375,8822.015625,9256.4228515625,9249.34375,9325.8759765625,9195.109375,9034.5830078125,9425.7802734375,9394.37109375,9674.62109375,9268.06640625,9668.1123046875,8688.0556640625,9133.8984375,9756.5537109375,9436.9814453125,9281.7978515625
2018-04-24,9645.3,9442.34765625,9308.4541015625,9010.50390625,9547.654296875,8763.1494140625,9244.8310546875,9213.5244140625,9380.580078125,9179.966796875,9035.310546875,9124.5419921875,9324.08984375,9658.3525390625,9314.265625,9661.244140625,8684.6357421875,9138.943359375,9820.96875,9513.0078125,9325.2021484375
2018-04-25,8873.1,8893.3857421875,9066.2177734375,9182.4287109375,9640.123046875,8972.88671875,9034.294921875,9777.2578125,9007.9619140625,9000.2626953125,9129.716796875,9232.5498046875,9716.75390625,9659.8671875,9659.97265625,9786.564453125,9282.8662109375,8936.2626953125,9666.83203125,9201.294921875,9287.2265625
2018-04-26,9287.0,8861.4326171875,9095.1435546875,9162.7001953125,9352.6572265625,9110.1572265625,9034.048828125,9508.4990234375,8926.0380859375,9136.7333984375,9011.8095703125,9090.6943359375,9505.0859375,9464.111328125,9517.8447265625,9452.3955078125,9018.2607421875,9013.3681640625,9467.0771484375,9226.373046875,9213.9580078125
2018-04-27,8940.9,8909.2451171875,9157.2216796875,9143.1533203125,9166.8017578125,9337.4130859375,9120.447265625,9306.1962890625,9226.6279296875,9223.498046875,9036.4609375,9336.41015625,9344.5146484375,9232.4345703125,9447.9287109375,9240.236328125,8962.58984375,9078.9833984375,9283.7158203125,9191.8662109375,9110.4462890625
2018-04-28,9352.4,8977.216796875,9266.279296875,9231.9765625,8953.3212890625,9310.5009765625,9136.501953125,9139.6552734375,9375.630859375,9157.4365234375,9067.568359375,9439.2998046875,9222.6943359375,8979.5439453125,9473.216796875,9102.572265625,8969.6474609375,9079.0185546875,9107.5400390625,9251.33984375,9228.287109375
2018-04-29,9415.1,9065.798828125,9221.79296875,9283.466796875,8778.556640625,9290.970703125,9162.029296875,8940.0576171875,9341.9501953125,9135.3798828125,9133.927734375,9259.84375,9073.7861328125,8822.9189453125,9499.794921875,8993.310546875,9023.0283203125,9177.4453125,8931.4462890625,9214.5322265625,9224.013671875
2018-04-30,9245.1,9147.0634765625,9322.595703125,9405.9638671875,8662.634765625,9280.646484375,9264.65625,8797.515625,9306.8505859375,9225.7412109375,9252.32421875,9106.5595703125,8909.7353515625,8735.6044921875,9521.041015625,8717.330078125,9028.7685546875,9344.7822265625,8741.1044921875,9141.5703125,9307.3525390625
2018-05-01,9074.9,9219.458984375,9411.0439453125,9466.2412109375,8555.8642578125,9280.349609375,9415.2978515625,8637.3349609375,9395.208984375,9463.0244140625,9443.8916015625,9319.84375,8749.7021484375,8597.9716796875,9512.4052734375,8567.443359375,8987.7001953125,9413.0615234375,8593.9775390625,9215.1279296875,9442.841796875
2018-05-02,9243.2,9327.587890625,9572.4169921875,9494.1728515625,8465.5751953125,9268.4453125,9573.029296875,8445.888671875,9612.6796875,9617.19921875,9555.900390625,9666.5166015625,8585.525390625,8435.9306640625,9465.3134765625,8479.8203125,8973.3154296875,9481.5009765625,8563.0322265625,9462.5458984375,9644.45703125
2018-05-03,9749.7,9459.2890625,9676.3583984375,9493.046875,8423.98828125,9230.7939453125,9716.89453125,8260.9697265625,9784.34375,9755.89453125,9647.0966796875,9815.4580078125,8366.8984375,8310.59765625,9389.326171875,8434.11328125,9127.2763671875,9516.01953125,8551.5693359375,9717.3935546875,9782.2275390625
2018-05-04,9708.6,9576.001953125,9669.40234375,9453.259765625,8525.34765625,9167.6953125,9801.810546875,8098.580078125,9767.8359375,9589.1630859375,9662.2734375,9810.9599609375,8190.09619140625,8176.6494140625,9332.6708984375,8397.5595703125,9127.712890625,9493.0732421875,8565.1630859375,9757.4931640625,9623.892578125
2018-05-05,9853.5,9630.8779296875,9737.0087890625,9787.400390625,8174.1044921875,9525.09375,9552.3681640625,8241.427734375,9535.1796875,9603.791015625,9534.9375,9614.986328125,8418.15234375,8450.3603515625,9526.1484375,8494.2666015625,9563.3505859375,9717.265625,8417.248046875,9673.77734375,9676.697265625
2018-05-06,9656.4,9535.689453125,9587.4609375,9549.357421875,8222.201171875,9412.3173828125,9346.390625,8116.16748046875,9383.51171875,9468.90625,9481.0947265625,9383.4384765625,8330.5673828125,8261.5302734375,9168.6689453125,8381.89453125,9415.2060546875,9560.8486328125,8331.044921875,9438.447265625,9444.572265625
2018-05-07,9431.6,9371.13671875,9283.6962890625,9424.658203125,8308.3154296875,9403.9287109375,9106.9384765625,7967.08935546875,9298.880859375,9324.060546875,9327.7509765625,9380.794921875,8232.8984375,8222.255859375,9053.349609375,8277.06640625,9274.982421875,9518.0615234375,8289.162109375,9367.462890625,9257.8818359375
2018-05-08,9196.4,9161.7421875,9137.7705078125,9283.3271484375,8337.1259765625,9171.0556640625,8951.7998046875,7854.62255859375,9087.1650390625,9116.869140625,9156.2822265625,9296.19140625,8181.34423828125,8210.302734375,9016.1298828125,8186.2099609375,9097.2509765625,9254.625,8207.1171875,9153.87109375,8995.9296875
